Product,Revenue,Units_Sold,Return_Rate,Customer_Rating,Days_Since_Launch
Product_A,13587.116699575461,5635,0.03611259145597959,4.08396171048203,133
ProductB,12458.665097893983,5031,0.01570851981766695,4.461333280482918,283
Prod C,2720.035825417652,3610,0.09272501204635385,3.8324819478387098,1165
Product-D,77943.58157132452,302,0.10485901065791953,3.7711613880544155,539
PRODUCT_E,21688.04920600103,4318,0.012322296049899862,3.080445498161084,128
Prod_F_v2,21431.638727901543,9058,0.08169302816189933,2.7234466427341584,182
ProductG_Final,49904.85203667914,4489,0.041709408527711316,4.6533178190879845,943
Product H (Updated),7672.482691160828,2427,0.10032419065732297,4.6610033371919934,907
Prod_I_NEW,10318.285375859365,8104,0.0344113000606988,4.0194434974558435,367
Product J,34801.49583903646,3031,0.10673128333434521,3.313671498516882,851
ProductK_old,20653.125630750903,7877,0.06414294848207523,3.3381029790703862,986
Product_L_revised,31098.11032429913,297,0.14114219842314282,4.242293629288575,190
Prod M Beta,20331.21491695081,7225,0.029252932180439055,4.653064623886186,830
Product-N-Final,17302.735136339797,2030,0.05774928914703619,4.629007418236282,427
PRODUCT_O_v3,92366.11663468392,6387,0.025886292973682466,4.371701310058297,845
Product P (Legacy),63945.96498093413,8900,0.1394571065589988,4.040875950770291,1188
ProdQ_Test,1810.287331527618,9439,0.13282750947333732,2.701935915988117,430
Product_R_Live,96792.86493241909,4382,0.04611182788012178,2.887908913827073,669
